id,match_id,league,market_type,prediction,odds_taken,closing_odds,clv_percentage,diamond_score,edge_pct,ev_expected,is_winner,profit_loss,source,created_at,implied_prob,predicted_prob,hours_before_match,data_quality_score,model_uncertainty,steam_move,odds_movement,league_tier,match_importance,reality_score,class_score,context_score,home_tier,away_tier,tier_difference,convergence_status,system_confidence,adjusted_confidence,reality_check_correct,home_form,home_pressing,home_style,home_win_rate,home_draw_rate,home_strength,away_form,away_pressing,away_style,away_win_rate,home_tier_class,home_power,home_big_game,away_tier_class,away_power,away_big_game,got_value,line_movement_pct
2245,4ebffa6bee321ac461d480a3701321d0,,over_25,over_25,1.77,,,81,11.13,,True,0.77,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,5.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,100.0,0.0,100.0,neutral,medium,defensive,12.5,D,34.0,1.0,C,38.8,1.0,0,
2461,c454bcd9c0710d4db52d75c815ab1807,,btts_yes,btts_yes,1.41,,,98,15.0,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-55.5,1,,30.0,20.0,25.0,D,B,-2.0,strong_convergence,30.0,30.0,True,neutral,medium,balanced_offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,33.33,D,34.0,1.0,B,44.8,1.0,0,
2462,c454bcd9c0710d4db52d75c815ab1807,,dc_12,dc_12,1.23,,,75,4.34,,True,0.23,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-55.5,1,,30.0,20.0,25.0,D,B,-2.0,strong_convergence,30.0,30.0,True,neutral,medium,balanced_offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,33.33,D,34.0,1.0,B,44.8,1.0,0,
2463,c454bcd9c0710d4db52d75c815ab1807,,dc_1x,dc_1x,2.88,,,70,34.48,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-55.5,1,,30.0,20.0,25.0,D,B,-2.0,strong_convergence,30.0,30.0,True,neutral,medium,balanced_offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,33.33,D,34.0,1.0,B,44.8,1.0,0,
2249,4ebffa6bee321ac461d480a3701321d0,,under_35,under_35,1.47,,,40,-2.59,,True,0.47,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,5.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,100.0,0.0,100.0,neutral,medium,defensive,12.5,D,34.0,1.0,C,38.8,1.0,0,
2464,c454bcd9c0710d4db52d75c815ab1807,,over_25,over_25,1.53,,,69,2.66,,True,0.53,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-55.5,1,,30.0,20.0,25.0,D,B,-2.0,strong_convergence,30.0,30.0,True,neutral,medium,balanced_offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,33.33,D,34.0,1.0,B,44.8,1.0,0,
2465,c454bcd9c0710d4db52d75c815ab1807,,under_35,under_35,1.69,,,40,1.49,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-55.5,1,,30.0,20.0,25.0,D,B,-2.0,strong_convergence,30.0,30.0,True,neutral,medium,balanced_offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,33.33,D,34.0,1.0,B,44.8,1.0,0,
2426,b522e292a928a534064b7bd0f1f5a3b3,,draw,draw,3.55,,,7,-0.69,,True,2.55,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2425,b522e292a928a534064b7bd0f1f5a3b3,,over_35,over_35,3.45,,,13,-7.0,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2423,b522e292a928a534064b7bd0f1f5a3b3,,dc_x2,dc_x2,1.4,,,24,-16.18,,True,0.4,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2422,b522e292a928a534064b7bd0f1f5a3b3,,home,home,3.5,,,29,19.97,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2421,b522e292a928a534064b7bd0f1f5a3b3,,under_25,under_25,1.91,,,44,14.61,,True,0.91,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2420,b522e292a928a534064b7bd0f1f5a3b3,,over_25,over_25,1.93,,,50,-8.34,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2419,b522e292a928a534064b7bd0f1f5a3b3,,btts_yes,btts_yes,1.78,,,57,-4.97,,True,0.78,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2418,b522e292a928a534064b7bd0f1f5a3b3,,under_35,under_35,1.38,,,61,7.55,,True,0.38,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
